Date,Ticker,Open,High,Low,Close,Volume,Daily Return,Volatility_5d,MA_5,MA_10,Delta_Close,Range,Weekday,Volume_Change,Price_to_Volume,Momentum_3d,Rolling_Return_5d,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_4,Return_Lag_5,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,Target
2017-02-14,^GSPC,-1.398777019228882,-1.398713171496284,-1.3928436736638794,-1.3901888209312938,-0.5926803803679722,0.3694723545714285,-1.1659570264167676,-1.4057117722386334,-1.4157296576958505,0.34020066215248446,-0.9106863996449159,-0.7106615501750391,0.3401234584535635,-1.163595170923051,0.6606250030742034,0.7645735880185617,-1.3956798169197318,-1.4052327462997583,-1.411366052175475,-1.4229530755828044,-1.4234485292454906,-1.4219960047868523,-1.4158577181265988,-1.4287163782242425,-1.4287007859365537,-1.4274344656727076,0.45907903116713444,0.2727714846831963,0.5213714072045885,-0.017251788104416438,-0.0608567041744338,0.8707269514714889,-0.09049019994451263,-0.20049701349231502,0.288905211180349,-1.4193952632536513,-1.4385270927427982,-1.3940293037487501,0
2017-02-15,^GSPC,-1.3899548234473027,-1.3859864248273404,-1.3809896354052464,-1.379308161715758,-0.21387099980782528,0.5031289598376781,-1.3750282394805908,-1.3955107987008608,-1.4091982341010092,0.42500507559982625,-0.8672926984258682,0.010433856364723224,0.4751776210574779,-1.3144089568365425,0.7573410218281669,0.9898769197167796,-1.3869733009206533,-1.393885359506658,-1.403671514036019,-1.410598646089388,-1.4219584265139709,-1.4215083405621747,-1.4204194286536256,-1.413164338979977,-1.4274796408637247,-1.4267953802889328,0.3288295856790833,0.4435487598514102,0.29780534183036117,0.4937484376348438,-0.012487777306394292,1.1611575802087968,-0.02089295556242041,-0.1589362823778591,0.37593420241129977,-1.4157559910032131,-1.4290939875247237,-1.3966328593722523,1
2017-02-16,^GSPC,-1.376842883918414,-1.3859771396944431,-1.3771820745399266,-1.3812008956357826,-0.3754412886811114,-0.29156242286588335,-1.0689699872333793,-1.3881563421259029,-1.4029788645388122,-0.1924220193884209,-1.0300460580285775,0.7315292629044855,-0.191832635977553,-1.2497946728075866,0.3431228859604047,0.6433697383832006,-1.3760833212065033,-1.385171544177214,-1.3923120840434893,-1.4028959787404376,-1.4095863634783734,-1.4200174159466343,-1.4199313123358035,-1.4177256899921524,-1.4119154876068407,-1.4255734306772267,0.43241558177649075,0.31763497260398604,0.46956193233496674,0.27290427009553136,0.5120841539758263,1.1591525145894568,0.02381875181685387,-0.11627434349508378,0.38802630259623067,-1.4118264654657082,-1.4226165791275291,-1.3954565291336016,1
2017-02-17,^GSPC,-1.3830257978402827,-1.3861164166879019,-1.3765162665425514,-1.3775274211918431,-0.6091503534358047,0.0534673335027852,-1.047987642956576,-1.381603690466877,-1.3979430125145,0.21318141364176194,-1.0646099308286465,1.452624669444248,-0.2847463810426331,-1.1421668444576654,0.1860119554394695,0.5449601980357786,-1.37797767646431,-1.3742724345700488,-1.3835890205745645,-1.3915245476135352,-1.4018727020718116,-1.407638528951389,-1.418439005546293,-1.4172376121434669,-1.4164803916105468,-1.4099990231379813,-0.18348288656625739,0.4177728659021038,0.3429260975973651,0.4425697387161233,0.28537456434518754,1.9928070149075898,0.061930774795826746,-0.07412089921522631,0.38244264449021953,-1.408070067423029,-1.4160714478206697,-1.3947117463104772,1
2017-02-21,^GSPC,-1.3719281549481142,-1.371692075965354,-1.3621398050696534,-1.3642691785975147,-0.5052910852676443,0.6463905744472888,-1.0107985690301382,-1.374664144664772,-1.3911192327258786,0.3022110580286476,-1.0557604805687366,-0.7106615501750391,0.12915956246799226,-1.175204494206686,0.25700370798955363,0.5866377183611292,-1.3743010552796457,-1.376168378009036,-1.3726783435331524,-1.382792268307469,-1.390485040441466,-1.3999206129824293,-1.4060486426016892,-1.4157454229647628,-1.415991933581415,-1.4145669346817595,0.08392066543551789,-0.17762397758033152,0.4436382275704983,0.3174756844979308,0.4595461949299858,2.200545447089484,0.11752416357023332,-0.02869382117030207,0.4183896370512797,-1.4033572760707327,-1.4082504635524882,-1.3933573379098327,0
2017-02-22,^GSPC,-1.366145960149183,-1.373157768163183,-1.3589229541882497,-1.3666558671304625,-0.6732965643315733,-0.3211552059898128,-0.9126387804795048,-1.3699468104043693,-1.3845840571617298,-0.03394306911497486,-1.257100190362383,0.010433856364723224,-0.21029552538713636,-1.0999754559215895,0.24223787194105217,0.32168536026284283,-1.3610314555212635,-1.3724886744349682,-1.374576299173306,-1.3718700642350916,-1.3817402975072277,-1.3885266703508288,-1.3983235716750302,-1.4033560365221676,-1.414498582085779,-1.414078154837077,0.54344561296947,0.08087842010585174,-0.15517289488721178,0.41696165285273123,0.33112975535165307,2.0486907214211665,0.1484970207138474,0.014168694203299527,0.39022878526261695,-1.3994644456603318,-1.4015184258331617,-1.3925308618425,1
2017-02-23,^GSPC,-1.3601868569647275,-1.3702542391662165,-1.3619708345393704,-1.365732832127973,0.13271835315396602,-0.11745075000984828,-0.9851272047931504,-1.3672255469411125,-1.3781050925036082,-0.24115738822990035,-1.000711405836637,0.7315292629044855,1.0294978321001838,-1.4319920330520775,0.1571903585400547,0.0850451898688563,-1.3634201885192314,-1.3592079497682457,-1.3708926902591991,-1.3737700250481004,-1.370802504115544,-1.3797771041488185,-1.3869190661948727,-1.3956315744192622,-1.4020995451284606,-1.412583819462161,-0.20641776442792667,0.5251070021306543,0.10481187428135254,-0.17455899510916328,0.43325798138102567,2.0468936553402153,0.16779929713983505,0.0525225003379368,0.34071972313033244,-1.3963859369719802,-1.3951154805312818,-1.3930377615353704,0
2017-02-24,^GSPC,-1.3711633733947353,-1.3711075655261393,-1.3640527437966377,-1.3624415465297002,-0.14549343097848333,0.028337547763892006,-1.0329237247372407,-1.363465112913581,-1.372532297066821,0.3459623407064079,-0.9484682543576795,1.452624669444248,-0.3096299560682512,-1.3245083807484583,-0.148627285557339,0.20718646988729938,-1.3624963628342759,-1.3615986854216164,-1.3575978705044491,-1.3700825244347108,-1.372705176752612,-1.368833277886099,-1.3781613886353,-1.384227967744294,-1.3943690661791521,-1.400176613526815,-0.04854356928335332,-0.19979541424786657,0.5515878670363703,0.08226048160266689,-0.1739729219826272,1.9599569243930397,0.18344228192285483,0.08649893218774195,0.2926528188440393,-1.3930618523187632,-1.388924192299896,-1.3928082175395244,1
2017-02-27,^GSPC,-1.3623038378767003,-1.3672116596424473,-1.3556124597473804,-1.3601946221130359,-0.5094636743410291,-0.03616958100124251,-1.0293514289891008,-1.3599906401544395,-1.3675048869734507,0.07388932138203176,-1.1413607616305028,-1.4317569567148014,-0.424297413919809,-1.1689572661931042,-0.0072505077807505786,0.17296845074595849,-1.359202257882667,-1.3606740852237702,-1.3599911434914618,-1.3567736588239239,-1.3690124129502064,-1.3707369999650638,-1.367207416808118,-1.3754709803896623,-1.3829565768468686,-1.3924410414309263,0.06444468157155395,-0.04717643191894949,-0.1774714727562736,0.5235970146376405,0.08966744861547807,2.299852796330431,0.193524528645307,0.11580273777135028,0.24134382288243164,-1.3895307818812983,-1.3832137194953853,-1.3916327425749915,0
2017-02-28,^GSPC,-1.3615110515209798,-1.3706901874790751,-1.358341631456016,-1.3658914894391283,0.41288420188768366,-0.5241797409098078,-1.225726629907431,-1.3603158429563884,-1.3641885807850334,-0.1931996117786252,-1.1751103280319326,-0.7106615501750391,1.1416695930888396,-1.5275829161817738,-0.20914301813704086,-0.2716511677491099,-1.356953408724542,-1.3573772185750252,-1.3590655619976768,-1.3591694602820592,-1.3556845515255491,-1.3670421993745248,-1.3691129037483487,-1.3645178718604758,-1.3741927683767776,-1.3810210330973756,0.014450630209787844,0.06205074003786719,-0.023977303082483,-0.19658608968883642,0.542725482287827,1.8963657602582598,0.18000133390404618,0.1363986840920683,0.14572489461801885,-1.3856384223629823,-1.3801614493981387,-1.3868501133210416,0
2017-03-01,^GSPC,-1.348408446926205,-1.3399029514583587,-1.33848828101984,-1.3357572988757331,0.6114788726797368,1.6811765372515692,-0.32928383324045174,-1.354122023180978,-1.3587179350004281,0.507898298112208,-0.6920794698319334,0.010433856364723224,0.2074525624286153,-1.5634960819363004,0.6079590903960925,0.4877585928606838,-1.3626551560531202,-1.3551264840366921,-1.3557651963210706,-1.3582429009198524,-1.358083772523704,-1.3537069868081628,-1.365414677862427,-1.3664232086265884,-1.3632311280986127,-1.372251450682173,-0.3637650099307353,0.013720857916567108,0.08587622764802086,-0.04496069847839539,-0.19658503634613658,2.082387999895142,0.23444255490330682,0.16433719277965553,0.22635182289494854,-1.3801301334868603,-1.3725543109665914,-1.3836174708280171,0
2017-03-02,^GSPC,-1.3347739787682587,-1.3456819275869438,-1.3384507320131105,-1.3488477790047506,-0.1578055071879781,-0.9694654194247784,-0.11072924079706188,-1.3507373040224304,-1.3556565110684395,-0.5918983991271144,-0.9440435292277245,0.7315292629044855,-0.7886868795833649,-1.3059750161113688,0.14073903460217124,0.16033985188698943,-1.3324951521933228,-1.3608330115709708,-1.3535120730349663,-1.3549390484369548,-1.357155890678447,-1.356107531125414,-1.3520671027771927,-1.3627252742030735,-1.3651379489963729,-1.361282588440005,1.3454212017641314,-0.351904987689593,0.03726919978399376,0.06355537485689687,-0.04093261137192912,1.3607008025891927,0.23739858987482257,0.18731034687834205,0.17182844695261779,-1.3753143201345248,-1.3693259591495386,-1.377110800410903,1
2017-03-03,^GSPC,-1.3476716701751679,-1.3557558438471466,-1.3429334881274877,-1.3477287555590693,-0.5506165686880397,-0.1059314756537414,-0.10779607469964536,-1.347788028997319,-1.352292390149214,-0.015130954421839387,-1.1883746925013319,1.452624669444248,-0.4587490506483062,-1.1367955892897634,0.34943070595977144,0.10912076678943079,-1.3455968457791248,-1.330647722300566,-1.3592246570164606,-1.352683544746611,-1.3538473225895276,-1.3551791374958047,-1.3544698725388662,-1.349378751059089,-1.3614371341258913,-1.3631906656271102,-0.7088684970722761,1.300386952741902,-0.3304533123583352,0.015540133423799183,0.07046555108935963,1.28356288911005,0.23420930952062782,0.20501741682412775,0.11400283130486784,-1.3705032042178655,-1.3672637551858353,-1.36935981721631,1
2017-03-06,^GSPC,-1.3529780110156109,-1.3604772206920697,-1.349882572903394,-1.3550106025947386,-0.998538128829885,-0.6190125760333508,-0.05115196183402038,-1.346748858433044,-1.350029334954556,-0.0964877293198416,-1.0951415153173818,-1.4317569567148014,-0.5619544273739271,-0.9200584864527055,-0.7833739972725337,-0.11309990906705637,-1.3444768637650084,-1.3437604000262744,-1.329007331519112,-1.358402164021075,-1.3515885996069061,-1.351868744526502,-1.35354061823428,-1.3517813314550833,-1.3480802149208344,-1.3594874125127985,-0.03961594833922057,-0.6855208959605458,1.3313136289821923,-0.34770538840260556,0.021175068109428156,0.7866473073686546,0.20600688381863588,0.2132454910576586,0.009916237382595575,-1.3668389976572728,-1.3657986950035819,-1.363343075223828,1
2017-03-07,^GSPC,-1.3571652981689872,-1.3638907525984167,-1.3521989344953627,-1.3614627424580097,-0.5952368257861728,-0.5696374134857518,-0.04439638254874176,-1.3458610871808037,-1.3497472737985097,-0.18974260464627113,-1.143764437144558,-0.7106615501750391,0.5492051227729358,-1.1310793905913252,-0.5859538437201252,-0.13041942201579912,-1.3517649485151269,-1.3426394790465919,-1.3421339259814034,-1.3281529141944324,-1.3573153810967318,-1.3496087757181485,-1.3502271563378527,-1.3508521503863415,-1.3504846667684611,-1.3461216932388431,-0.4372619663246589,-0.038545987774077466,-0.6659823274821298,1.2938296817360173,-0.351717927462991,0.3435005062520755,0.160527136578851,0.2102528976162094,-0.11329524147824066,-1.3632717144699613,-1.3667833806226175,-1.3548927637472985,0
2017-03-08,^GSPC,-1.358032536316299,-1.3657738228433098,-1.3564190765199913,-1.36650677023117,-0.1724242611598722,-0.48426335796137915,-1.1072286412571037,-1.352025019509143,-1.3497322887991414,-0.36165610296252404,-1.0445073547947716,0.010433856364723224,0.5308841928194582,-1.317959709632199,-0.7721219712642654,-0.9419581662075712,-1.3582226153560804,-1.3499336739489602,-1.3410118153467678,-1.3412933767842707,-1.3270229563567473,-1.355338715882941,-1.3479650924067625,-1.3475389496285277,-1.349554761928964,-1.34852772923485,-0.398995429592142,-0.42295542553246795,-0.015297368006791177,-0.6791493662990918,1.3334148349821942,-0.12902330080161714,0.10542096790754463,0.19625707685048727,-0.2341190596444816,-1.3599833946448519,-1.3695685725083098,-1.3450842451227196,1
2017-03-09,^GSPC,-1.363926522643277,-1.3694935376686102,-1.3624866754671856,-1.3647444676444194,-0.3129259136555742,-0.0657631231369708,-1.1731982088358346,-1.355211614552907,-1.3496329531239406,-0.046600024767577464,-0.9456525201840718,0.7315292629044855,-0.1658739963360419,-1.2589788134445719,-0.4996098333628724,-0.6020608360171451,-1.3632709639018095,-1.356396754740071,-1.3483137517182067,-1.3401700806499652,-1.3401821743979385,-1.325029582993033,-1.3537003445598772,-1.3452770639738916,-1.3462389804063284,-1.3475972117371096,-0.33282917791493705,-0.38596268021382557,-0.40191118604633846,-0.03638644087414889,-0.6919647587544849,-0.007394136933786233,0.059794811994996554,0.1754545433426321,-0.30886195083705986,-1.3566809480571953,-1.37376410707536,-1.3337298090782814,0
2017-03-10,^GSPC,-1.355505273665955,-1.3622767247408876,-1.3545152960873315,-1.3575372828728232,-0.7302582820692953,0.2692387651421026,-1.0013930865684508,-1.3571777979029813,-1.349140049595105,-0.0964877293198416,-0.9745849246369255,1.452624669444248,-0.5010289369127502,-1.0622100846784648,-0.08486872892489278,-0.4609113747792228,-1.3615071517062667,-1.36144933569792,-1.3547836919010272,-1.3474797314507048,-1.3390572749771537,-1.3381960591586497,-1.3233631133381658,-1.3510118641236815,-1.343975332891982,-1.3442792456459065,-0.008484835898104488,-0.3219989273899611,-0.3647063073347133,-0.418293268554902,-0.03213062921181579,0.0862227772243498,0.03523080632008311,0.15364094751308022,-0.3199641853461966,-1.3536358382513531,-1.3767095707613812,-1.3242528690217148,0
2017-03-13,^GSPC,-1.3564005166156083,-1.364540258967912,-1.3493761192272613,-1.3567262412664434,-1.123642339956195,-0.12455494523791838,-1.0638287110006426,-1.3575217088779061,-1.3487914596174364,-0.026270199626091416,-1.292860995459247,-1.4317569567148014,-0.5112949726935404,-0.8516816312859181,0.09396120664407553,-0.2736609542339961,-1.354293793176781,-1.3596840447653118,-1.3598416352600367,-1.3539565070664272,-1.3463773588809185,-1.337070539286107,-1.3365417955941818,-1.3206770238220227,-1.349714600072769,-1.3420141067506672,0.25114695875037807,-0.008451147416035955,-0.30037575697264085,-0.3815413560778614,-0.4241805581067237,-0.27714728907089003,0.01204232544075671,0.13130809715999964,-0.3256659955773127,-1.350936971949991,-1.3798077412398906,-1.315329127980503,0
2017-03-14,^GSPC,-1.359207599608049,-1.3699851967788523,-1.359073150215168,-1.3642038491164508,-1.1131961750576858,-0.6328245330414713,-1.0378573698232132,-1.3580711816071147,-1.3486218431513055,-0.2185228916668449,-1.1132230417353572,-0.7106615501750391,0.012544698391237001,-0.8667702132019229,-0.18783274321092006,-0.29766854516687935,-1.3534820568227743,-1.3524646387322141,-1.3580744707902748,-1.3590197940965487,-1.352863378832535,-1.3443946606698811,-1.3354152322991522,-1.3338546674474714,-1.3193561309316748,-1.3477571551886325,-0.054049433641528165,0.24253819408588223,0.014970049988877236,-0.31799402469607696,-0.38645254795074874,-0.4678702148557182,-0.029768692017039116,0.10463915799617565,-0.37327955390726014,-1.349186964684888,-1.382605320502481,-1.3086946696426969,0
2017-03-15,^GSPC,-1.3575382401709029,-1.350078777713775,-1.3489823125713172,-1.3457335886547979,-0.032245837395207054,0.9621117186706394,-0.7071076414172272,-1.353907061710516,-1.3496245111929988,0.47297222063411587,-0.6832398304924892,0.010433856364723224,1.5119062134997125,-1.3517550242205836,0.15420021124354388,0.2512705131645996,-1.36096607007821,-1.3516522218382743,-1.3508474026629695,-1.3572507626336126,-1.3579338927188598,-1.3508842580635378,-1.342746143570105,-1.3327281929384864,-1.3325440390721917,-1.3173786846822537,-0.4479664528099371,-0.05249902067017762,0.26739867965815595,-0.006487526118777575,-0.32121745670876695,0.027363970026446475,-0.023194117590926704,0.08468818096849459,-0.29951121197775504,-1.3469439448920604,-1.3825504607539105,-1.3041061307201725,1
