Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,subsample,reg_lambda,reg_alpha,random_state,n_estimators,max_depth,learning_rate,gamma,colsample_bytree
0.4572192513368984,0.6097560975609756,0.1179245283018868,0.1976284584980237,0.49857325879338465,XGBClassifier,0.8,0.1,0.001,42,100,3,0.3,0.2,0.7
0.4117647058823529,0.43333333333333335,0.12264150943396226,0.19117647058823528,0.4565863032844165,XGBClassifier,1.0,0.1,0.001,42,300,5,0.2,0.2,1.0
0.43315508021390375,0.0,0.0,0.0,0.43473386908921496,XGBClassifier,0.7,1.0,0.001,42,50,4,0.001,0.1,0.9
0.4679144385026738,0.5730337078651685,0.24056603773584906,0.3388704318936877,0.4957780107151176,XGBClassifier,1.0,0.1,0.1,42,200,9,0.3,0.3,1.0
0.4304812834224599,0.47058823529411764,0.03773584905660377,0.06986899563318777,0.4857325879338458,XGBClassifier,0.8,0.1,0.1,42,300,3,0.05,0.2,0.6
0.4385026737967914,0.5113636363636364,0.21226415094339623,0.3,0.4319095038434661,XGBClassifier,1.0,0.001,1.0,42,500,8,0.001,0.1,0.7
0.4385026737967914,0.5142857142857142,0.16981132075471697,0.2553191489361702,0.47146517586769165,XGBClassifier,1.0,0.1,0.001,42,200,7,0.2,0.0,1.0
0.45989304812834225,0.6136363636363636,0.12735849056603774,0.2109375,0.48672257162823207,XGBClassifier,0.7,0.0,0.0,42,300,10,0.1,0.3,0.6
0.44385026737967914,0.5303030303030303,0.1650943396226415,0.2517985611510791,0.489488702539017,XGBClassifier,0.6,0.0,0.01,42,300,4,0.2,0.2,0.8
0.4358288770053476,0.6,0.014150943396226415,0.027649769585253458,0.4648555788492895,XGBClassifier,0.8,0.1,0.0,42,50,7,0.001,0.3,1.0
0.42245989304812837,0.46,0.10849056603773585,0.17557251908396945,0.46211856510598653,XGBClassifier,1.0,0.0,0.1,42,300,4,0.05,0.0,0.9
0.4304812834224599,0.47058823529411764,0.03773584905660377,0.06986899563318777,0.47755066387141853,XGBClassifier,0.8,0.0,0.1,42,200,8,0.01,0.2,0.8
0.45187165775401067,0.5853658536585366,0.11320754716981132,0.18972332015810275,0.48931399953412535,XGBClassifier,0.7,0.001,0.1,42,300,4,0.1,0.3,0.6
0.42513368983957217,0.43478260869565216,0.04716981132075472,0.0851063829787234,0.4570230607966457,XGBClassifier,0.9,0.001,0.1,42,100,8,0.05,0.0,1.0
0.4786096256684492,0.5876288659793815,0.2688679245283019,0.36893203883495146,0.4911192639180061,XGBClassifier,0.7,0.01,1.0,42,100,9,0.1,0.3,0.9
0.44385026737967914,0.625,0.04716981132075472,0.08771929824561403,0.4943221523410202,XGBClassifier,0.9,0.0,0.1,42,50,3,0.2,0.3,0.6
0.4732620320855615,0.5949367088607594,0.22169811320754718,0.3230240549828179,0.4805497321220592,XGBClassifier,0.7,1.0,0.001,42,100,7,0.2,0.0,0.6
0.4625668449197861,0.5470085470085471,0.3018867924528302,0.3890577507598784,0.4747554157931517,XGBClassifier,0.6,0.0,0.001,42,200,8,0.3,0.3,0.8
0.4385026737967914,0.5135135135135135,0.1792452830188679,0.26573426573426573,0.45364546936873984,XGBClassifier,0.9,0.0,0.001,42,500,3,0.3,0.1,0.8
0.4358288770053476,0.5142857142857142,0.08490566037735849,0.145748987854251,0.48704286047053347,XGBClassifier,0.6,0.1,1.0,42,300,3,0.05,0.0,1.0
