Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,C,max_iter,solver
0.43609022556390975,0.5,0.04666666666666667,0.08536585365853659,0.5151724137931034,LogisticRegression,0.01,200,liblinear
0.44360902255639095,0.6,0.04,0.075,0.5170114942528736,LogisticRegression,0.01,200,lbfgs
0.43609022556390975,0.5,0.04666666666666667,0.08536585365853659,0.5151724137931034,LogisticRegression,0.01,500,liblinear
0.44360902255639095,0.6,0.04,0.075,0.5170114942528736,LogisticRegression,0.01,500,lbfgs
0.42857142857142855,0.45454545454545453,0.06666666666666667,0.11627906976744186,0.5140229885057471,LogisticRegression,0.1,200,liblinear
0.4323308270676692,0.47619047619047616,0.06666666666666667,0.11695906432748537,0.5142528735632184,LogisticRegression,0.1,200,lbfgs
0.42857142857142855,0.45454545454545453,0.06666666666666667,0.11627906976744186,0.5140229885057471,LogisticRegression,0.1,500,liblinear
0.4323308270676692,0.47619047619047616,0.06666666666666667,0.11695906432748537,0.5142528735632184,LogisticRegression,0.1,500,lbfgs
0.4473684210526316,0.5454545454545454,0.12,0.19672131147540983,0.5236781609195402,LogisticRegression,1.0,200,liblinear
0.4473684210526316,0.5454545454545454,0.12,0.19672131147540983,0.5242528735632184,LogisticRegression,1.0,200,lbfgs
0.4473684210526316,0.5454545454545454,0.12,0.19672131147540983,0.5236781609195402,LogisticRegression,1.0,500,liblinear
0.4473684210526316,0.5454545454545454,0.12,0.19672131147540983,0.5242528735632184,LogisticRegression,1.0,500,lbfgs
0.45864661654135336,0.5789473684210527,0.14666666666666667,0.23404255319148937,0.5337356321839081,LogisticRegression,10.0,200,liblinear
0.45864661654135336,0.575,0.15333333333333332,0.24210526315789474,0.5344252873563218,LogisticRegression,10.0,200,lbfgs
0.45864661654135336,0.5789473684210527,0.14666666666666667,0.23404255319148937,0.5337356321839081,LogisticRegression,10.0,500,liblinear
0.45864661654135336,0.575,0.15333333333333332,0.24210526315789474,0.5344252873563218,LogisticRegression,10.0,500,lbfgs
