Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,max_depth,n_estimators,random_state
0.44919786096256686,0.8,0.03773584905660377,0.07207207207207207,0.4959818308874913,RandomForestClassifier,3,50,42
0.44385026737967914,0.8333333333333334,0.02358490566037736,0.045871559633027525,0.49132308409037967,RandomForestClassifier,3,100,42
0.45187165775401067,0.7692307692307693,0.04716981132075472,0.08888888888888889,0.5002620545073376,RandomForestClassifier,5,50,42
0.44385026737967914,0.625,0.04716981132075472,0.08771929824561403,0.46060447239692526,RandomForestClassifier,5,100,42
0.46524064171123,0.575,0.2169811320754717,0.3150684931506849,0.5055322618215701,RandomForestClassifier,10,50,42
0.47593582887700536,0.6481481481481481,0.1650943396226415,0.2631578947368421,0.5210517120894479,RandomForestClassifier,10,100,42
