Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,C,gamma,kernel
0.4398496240601504,0.5172413793103449,0.1,0.16759776536312848,0.5055747126436781,SVC,0.1,scale,linear
0.5639097744360902,0.5643939393939394,0.9933333333333333,0.7198067632850241,0.5490229885057472,SVC,0.1,scale,rbf
0.4398496240601504,0.5172413793103449,0.1,0.16759776536312848,0.5047126436781609,SVC,0.1,auto,linear
0.5601503759398496,0.5627376425855514,0.9866666666666667,0.7167070217917676,0.552183908045977,SVC,0.1,auto,rbf
0.462406015037594,0.5897435897435898,0.15333333333333332,0.24338624338624337,0.4866666666666667,SVC,1.0,scale,linear
0.47368421052631576,0.7777777777777778,0.09333333333333334,0.16666666666666666,0.5066091954022989,SVC,1.0,scale,rbf
0.462406015037594,0.5897435897435898,0.15333333333333332,0.24338624338624337,0.5047988505747127,SVC,1.0,auto,linear
0.4548872180451128,0.6666666666666666,0.06666666666666667,0.12121212121212122,0.4919540229885058,SVC,1.0,auto,rbf
0.49624060150375937,0.6428571428571429,0.24,0.34951456310679613,0.5262356321839081,SVC,10.0,scale,linear
0.5112781954887218,0.6515151515151515,0.2866666666666667,0.39814814814814814,0.549367816091954,SVC,10.0,scale,rbf
0.49624060150375937,0.6428571428571429,0.24,0.34951456310679613,0.4735632183908046,SVC,10.0,auto,linear
0.5112781954887218,0.6282051282051282,0.32666666666666666,0.4298245614035088,0.5331896551724137,SVC,10.0,auto,rbf
