Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,learning_rate,max_depth,n_estimators,random_state
0.42245989304812837,0.46153846153846156,0.11320754716981132,0.18181818181818182,0.4206120428604705,XGBClassifier,0.01,3,100,42
0.4411764705882353,0.5483870967741935,0.08018867924528301,0.13991769547325103,0.4260569531795947,XGBClassifier,0.01,3,300,42
0.43315508021390375,0.5,0.19339622641509435,0.2789115646258503,0.4205683671092476,XGBClassifier,0.01,6,100,42
0.4144385026737968,0.43859649122807015,0.1179245283018868,0.18587360594795538,0.42557651991614254,XGBClassifier,0.01,6,300,42
0.4358288770053476,0.5070422535211268,0.16981132075471697,0.254416961130742,0.4573724668064291,XGBClassifier,0.1,3,100,42
0.45187165775401067,0.5507246376811594,0.1792452830188679,0.2704626334519573,0.4715234102026555,XGBClassifier,0.1,3,300,42
0.4358288770053476,0.5074626865671642,0.16037735849056603,0.24372759856630824,0.4299149778709528,XGBClassifier,0.1,6,100,42
0.4358288770053476,0.5070422535211268,0.16981132075471697,0.254416961130742,0.4466573491730725,XGBClassifier,0.1,6,300,42
