Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,solver,penalty,max_iter,C
0.4197860962566845,0.4074074074074074,0.05188679245283019,0.09205020920502092,0.47973445143256466,LogisticRegression,liblinear,l2,200,0.5
0.4304812834224599,0.48484848484848486,0.07547169811320754,0.1306122448979592,0.4687572792918705,LogisticRegression,saga,l2,500,5.0
0.43315508021390375,0.5,0.0047169811320754715,0.009345794392523364,0.5054449103191242,LogisticRegression,lbfgs,l2,1000,0.001
0.42513368983957217,0.46938775510204084,0.10849056603773585,0.17624521072796934,0.4610412299091544,LogisticRegression,lbfgs,l2,100,50.0
0.42780748663101603,0.4772727272727273,0.09905660377358491,0.1640625,0.45981830887491265,LogisticRegression,lbfgs,l2,1000,50.0
0.42513368983957217,0.4634146341463415,0.08962264150943396,0.15019762845849802,0.464593524341952,LogisticRegression,lbfgs,l2,200,10.0
0.42513368983957217,0.46938775510204084,0.10849056603773585,0.17624521072796934,0.4576636384812486,LogisticRegression,liblinear,l2,100,50.0
0.44385026737967914,0.7,0.0330188679245283,0.06306306306306306,0.4865478686233403,LogisticRegression,liblinear,l2,500,0.01
0.43315508021390375,0.5,0.0047169811320754715,0.009345794392523364,0.5053866759841602,LogisticRegression,sag,l2,1000,0.001
0.4197860962566845,0.4528301886792453,0.11320754716981132,0.1811320754716981,0.45620778010715124,LogisticRegression,newton-cg,l2,200,100.0
