Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,C,max_iter,solver,max_depth,n_estimators,random_state,learning_rate,gamma,kernel
0.45864661654135336,0.575,0.15333333333333332,0.24210526315789474,0.5344252873563218,LogisticRegression,10.0,200.0,lbfgs,,,,,,
0.5037593984962406,0.6153846153846154,0.32,0.42105263157894735,0.5677011494252873,RandomForestClassifier,,,,10.0,50.0,42.0,,,
0.5338345864661654,0.6181818181818182,0.4533333333333333,0.5230769230769231,0.5269540229885057,XGBClassifier,,,,3.0,100.0,,0.01,,
0.5639097744360902,0.5643939393939394,0.9933333333333333,0.7198067632850241,0.5490229885057472,SVC,0.1,,,,,,,scale,rbf
