Date,Close,High,Low,Open,Volume,Ticker
2020-01-02,72.62084197998047,72.68128882574726,71.37321819790198,71.62709199861638,135480400,AAPL
2020-01-03,71.91481018066406,72.67643886208242,71.6899497146884,71.84711001739942,146322800,AAPL
2020-01-06,72.48785400390625,72.52654087038833,70.78325591626742,71.03471685901826,118387200,AAPL
2020-01-07,72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000,AAPL
2020-01-08,73.30751037597656,73.60974457641883,71.8495328881936,71.8495328881936,132079200,AAPL
2020-01-09,74.86463165283203,75.058058615668,74.0353026659935,74.28675624192712,170108400,AAPL
2020-01-10,75.03385925292969,75.59964810131231,74.53094485063419,75.0991465547697,140644800,AAPL
2020-01-13,76.63692474365234,76.66352519200935,75.23214067732687,75.35062150930146,121532000,AAPL
2020-01-14,75.60205841064453,76.7844019623262,75.47875189343146,76.57404817184627,161954400,AAPL
2020-01-15,75.27808380126953,76.28392021153914,74.84528231468065,75.40139772921896,121923600,AAPL
2020-01-16,76.22103881835938,76.33226630764163,75.45941017193344,75.82209118249474,108829200,AAPL
2020-01-17,77.06489562988281,77.06730848616459,76.16302603037396,76.47009335198214,137816400,AAPL
2020-01-21,76.54263305664062,77.13500771347044,76.4048124784183,76.69254005241989,110843200,AAPL
2020-01-22,76.81585693359375,77.3695447452734,76.72155630946642,77.02862363912672,101832400,AAPL
2020-01-23,77.185791015625,77.26557760751265,76.32018802900329,76.86905012564355,104472000,AAPL
2020-01-24,76.96333312988281,78.17710300745777,76.772319051517,77.43240119345582,146537600,AAPL
2020-01-27,74.7002182006836,75.38205304274135,73.71614173787451,74.96859866575934,161940000,AAPL
2020-01-28,76.81344604492188,76.98511304705568,75.48361523501154,75.58274896265684,162234000,AAPL
2020-01-29,78.42131805419922,79.2699941203994,77.70562947444549,78.44791850299463,216229200,AAPL
2020-01-30,78.30767059326172,78.36086410726632,77.06972049871605,77.50252193635508,126743200,AAPL
2020-01-31,74.83562469482422,78.01996079771159,74.54064375527754,77.59683282419269,199588400,AAPL
2020-02-03,74.63008117675781,75.79791078115785,73.07297011838175,73.57588453843302,173788400,AAPL
2020-02-04,77.09392547607422,77.28493961664756,75.83179476448423,76.2379958862273,136616400,AAPL
