Accuracy,Precision,Recall,F1 Score,ROC AUC,Model,max_depth,n_estimators,random_state
0.4491978609625668,0.8,0.0377358490566037,0.072072072072072,0.4959818308874913,RandomForestClassifier,3,50,42
0.4438502673796791,0.8333333333333334,0.0235849056603773,0.0458715596330275,0.4913230840903796,RandomForestClassifier,3,100,42
0.4518716577540106,0.7692307692307693,0.0471698113207547,0.0888888888888888,0.5002620545073376,RandomForestClassifier,5,50,42
0.4438502673796791,0.625,0.0471698113207547,0.087719298245614,0.4606044723969252,RandomForestClassifier,5,100,42
0.46524064171123,0.575,0.2169811320754717,0.3150684931506849,0.5055322618215701,RandomForestClassifier,10,50,42
0.4759358288770053,0.6481481481481481,0.1650943396226415,0.2631578947368421,0.5210517120894479,RandomForestClassifier,10,100,42
